word,times,first_date,last_date,first_president,last_president
empire,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
empires,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
employ,3,1877-03-05,1909-03-04,Rutherford B. Hayes,William Howard Taft
employed,13,1789-04-30,1985-01-21,George Washington,Ronald Reagan
employees,4,1885-03-04,1925-03-04,Grover Cleveland,Calvin Coolidge
employers,1,1897-03-04,1897-03-04,William McKinley,William McKinley
employment,11,1841-03-04,1969-01-20,William Henry Harrison,Richard Nixon
employments,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
employs,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
empower,1,2013-01-21,2013-01-21,Barack Obama,Barack Obama
empty,2,1969-01-20,2017-01-20,Richard Nixon,Donald J. Trump
emulation,1,1977-01-20,1977-01-20,Jimmy Carter,Jimmy Carter
enable,11,1789-04-30,1909-03-04,George Washington,William Howard Taft
enabled,7,1805-03-04,1977-01-20,Thomas Jefferson,Jimmy Carter
enables,1,1821-03-04,1821-03-04,James Monroe,James Monroe
enact,3,1897-03-04,2001-01-20,William McKinley,George W. Bush
enacted,5,1825-03-04,1921-03-04,John Quincy Adams,Warren G. Harding
enactment,3,1841-03-04,1909-03-04,William Henry Harrison,William Howard Taft
enactments,1,1841-04-09,1841-04-09,John Tyler,John Tyler
encounter,3,1805-03-04,2005-01-20,Thomas Jefferson,George W. Bush
encountered,3,1817-03-04,1941-01-20,James Monroe,Franklin D. Roosevelt
encountering,1,1909-03-04,1909-03-04,William Howard Taft,William Howard Taft
encourage,18,1797-03-04,2005-01-20,John Adams,George W. Bush
encouraged,6,1809-03-04,1949-01-20,James Madison,Harry S. Truman
encouragement,15,1801-03-04,1985-01-21,Thomas Jefferson,Ronald Reagan
encourages,3,1829-03-04,1901-03-04,Andrew Jackson,William McKinley
encouraging,8,1865-03-04,2001-01-20,Abraham Lincoln,George W. Bush
encroach,1,1833-03-04,1833-03-04,Andrew Jackson,Andrew Jackson
encroaches,1,1833-03-04,1833-03-04,Andrew Jackson,Andrew Jackson
encroaching,2,1805-03-04,1845-03-04,Thomas Jefferson,James K. Polk
encroachments,2,1825-03-04,1841-03-04,John Quincy Adams,William Henry Harrison
encyclopedia,1,1997-01-20,1997-01-20,William J. Clinton,William J. Clinton
end,34,1821-03-04,2021-01-20,James Monroe,Joseph R. Biden
endanger,6,1789-04-30,1881-03-04,George Washington,James A. Garfield
endangered,2,1857-03-04,1861-03-04,James Buchanan,Abraham Lincoln
endearing,1,1821-03-04,1821-03-04,James Monroe,James Monroe
endeavor,19,1793-03-04,1973-01-20,George Washington,Richard Nixon
endeavored,1,1805-03-04,1805-03-04,Thomas Jefferson,Thomas Jefferson
endeavoring,1,1865-04-17,1865-04-17,Andrew Johnson,Andrew Johnson
endeavors,2,1805-03-04,1813-03-04,Thomas Jefferson,James Madison
ended,5,1961-01-20,2001-01-20,John F. Kennedy,George W. Bush
ending,3,1981-01-20,2013-01-21,Ronald Reagan,Barack Obama
endless,3,1973-01-20,2013-01-21,Richard Nixon,Barack Obama
endlessly,2,1989-01-20,1993-01-20,George Bush,William J. Clinton
endowed,6,1805-03-04,2013-01-21,Thomas Jefferson,Barack Obama
endowments,1,1789-04-30,1789-04-30,George Washington,George Washington
ends,10,1797-03-04,1949-01-20,John Adams,Harry S. Truman
endurance,4,1837-03-04,1905-03-04,Martin van Buren,Theodore Roosevelt
endure,12,1801-03-04,2021-01-20,Thomas Jefferson,Joseph R. Biden
endured,4,1933-03-04,2021-01-20,Franklin D. Roosevelt,Joseph R. Biden
endures,3,1977-01-20,2013-01-21,Jimmy Carter,Barack Obama
enduring,10,1865-04-17,2013-01-21,Andrew Johnson,Barack Obama
enemies,13,1797-03-04,2013-01-21,John Adams,Barack Obama
enemy,6,1813-03-04,2009-01-20,James Madison,Barack Obama
energetic,1,1897-03-04,1897-03-04,William McKinley,William McKinley
energetically,1,1889-03-04,1889-03-04,Benjamin Harrison,Benjamin Harrison
energies,11,1797-03-04,2017-01-20,John Adams,Donald J. Trump
energy,17,1797-03-04,2013-01-21,John Adams,Barack Obama
enfeeble,1,1833-03-04,1833-03-04,Andrew Jackson,Andrew Jackson
enfeebled,1,1881-03-04,1881-03-04,James A. Garfield,James A. Garfield
enforce,11,1821-03-04,1929-03-04,James Monroe,Herbert Hoover
enforced,8,1805-03-04,1909-03-04,Thomas Jefferson,William Howard Taft
enforcement,6,1861-03-04,2017-01-20,Abraham Lincoln,Donald J. Trump
enforcing,2,1893-03-04,1909-03-04,Grover Cleveland,William Howard Taft
enfranchisement,1,1901-03-04,1901-03-04,William McKinley,William McKinley
engage,8,1877-03-05,2021-01-20,Rutherford B. Hayes,Joseph R. Biden
engaged,12,1801-03-04,2001-01-20,Thomas Jefferson,George W. Bush
engagement,2,1989-01-20,2013-01-21,George Bush,Barack Obama
engagements,4,1841-03-04,1929-03-04,William Henry Harrison,Herbert Hoover
engaging,1,1933-03-04,1933-03-04,Franklin D. Roosevelt,Franklin D. Roosevelt
engender,2,1829-03-04,1909-03-04,Andrew Jackson,William Howard Taft
engenders,1,1921-03-04,1921-03-04,Warren G. Harding,Warren G. Harding
engine,2,1817-03-04,1993-01-20,James Monroe,William J. Clinton
engineers,3,1821-03-04,2013-01-21,James Monroe,Barack Obama
england,2,1841-03-04,1889-03-04,William Henry Harrison,Benjamin Harrison
english,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
engraven,1,1797-03-04,1797-03-04,John Adams,John Adams
engrossed,1,1929-03-04,1929-03-04,Herbert Hoover,Herbert Hoover
engrosses,1,1865-03-04,1865-03-04,Abraham Lincoln,Abraham Lincoln
engulf,2,1961-01-20,1993-01-20,John F. Kennedy,William J. Clinton
enhance,3,1817-03-04,1977-01-20,James Monroe,Jimmy Carter
enhanced,4,1809-03-04,1977-01-20,James Madison,Jimmy Carter
enhancing,1,1969-01-20,1969-01-20,Richard Nixon,Richard Nixon
enjoined,2,1841-03-04,1841-04-09,William Henry Harrison,John Tyler
enjoins,4,1805-03-04,1893-03-04,Thomas Jefferson,Grover Cleveland
enjoy,13,1797-03-04,2017-01-20,John Adams,Donald J. Trump
enjoyed,12,1809-03-04,1897-03-04,James Madison,William McKinley
enjoying,1,1817-03-04,1817-03-04,James Monroe,James Monroe
enjoyment,9,1817-03-04,1957-01-21,James Monroe,Dwight D. Eisenhower
enjoyments,2,1825-03-04,1845-03-04,John Quincy Adams,James K. Polk
enjoys,2,1809-03-04,1985-01-21,James Madison,Ronald Reagan
enlarge,6,1829-03-04,1965-01-20,Andrew Jackson,Lyndon B. Johnson
enlarged,11,1789-04-30,1929-03-04,George Washington,Herbert Hoover
enlargement,4,1805-03-04,1865-03-04,Thomas Jefferson,Abraham Lincoln
enlarging,2,1829-03-04,1901-03-04,Andrew Jackson,William McKinley
enlighten,1,1805-03-04,1805-03-04,Thomas Jefferson,Thomas Jefferson
enlightened,17,1797-03-04,1953-01-20,John Adams,Dwight D. Eisenhower
enlightening,1,1817-03-04,1817-03-04,James Monroe,James Monroe
enlist,2,1929-03-04,1969-01-20,Herbert Hoover,Richard Nixon
enlisted,2,1969-01-20,2013-01-21,Richard Nixon,Barack Obama
enlists,1,1941-01-20,1941-01-20,Franklin D. Roosevelt,Franklin D. Roosevelt
ennobled,2,1993-01-20,2005-01-20,William J. Clinton,George W. Bush
ennobling,2,1893-03-04,1897-03-04,Grover Cleveland,William McKinley
enormous,2,1925-03-04,1969-01-20,Calvin Coolidge,Richard Nixon
enough,15,1801-03-04,2021-01-20,Thomas Jefferson,Joseph R. Biden
enriched,3,1845-03-04,2017-01-20,James K. Polk,Donald J. Trump
enriching,1,1969-01-20,1969-01-20,Richard Nixon,Richard Nixon
enrichment,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
enshrined,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
enshrouded,1,1881-09-22,1881-09-22,Chester A. Arthur,Chester A. Arthur
ensign,1,1853-03-04,1853-03-04,Franklin Pierce,Franklin Pierce
enslaved,2,1941-01-20,1957-01-21,Franklin D. Roosevelt,Dwight D. Eisenhower
enslavement,1,1989-01-20,1989-01-20,George Bush,George Bush
ensue,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
ensued,1,1817-03-04,1817-03-04,James Monroe,James Monroe
ensure,5,1973-01-20,2013-01-21,Richard Nixon,Barack Obama
ensured,1,1977-01-20,1977-01-20,Jimmy Carter,Jimmy Carter
entailing,1,1897-03-04,1897-03-04,William McKinley,William McKinley
entails,1,1909-03-04,1909-03-04,William Howard Taft,William Howard Taft
entangled,1,1921-03-04,1921-03-04,Warren G. Harding,Warren G. Harding
entanglement,2,1897-03-04,1925-03-04,William McKinley,Calvin Coolidge
entanglements,1,1929-03-04,1929-03-04,Herbert Hoover,Herbert Hoover
entangling,4,1801-03-04,1885-03-04,Thomas Jefferson,Grover Cleveland
enter,13,1801-03-04,1973-01-20,Thomas Jefferson,Richard Nixon
entered,8,1805-03-04,1957-01-21,Thomas Jefferson,Dwight D. Eisenhower
entering,10,1789-04-30,2021-01-20,George Washington,Joseph R. Biden
enterprise,19,1813-03-04,2013-01-21,James Madison,Barack Obama
enterprises,8,1809-03-04,1993-01-20,James Madison,William J. Clinton
enterprise—an,1,1941-01-20,1941-01-20,Franklin D. Roosevelt,Franklin D. Roosevelt
enterprising,2,1885-03-04,1889-03-04,Grover Cleveland,Benjamin Harrison
enters,2,1861-03-04,1925-03-04,Abraham Lincoln,Calvin Coolidge
entertain,7,1793-03-04,1921-03-04,George Washington,Warren G. Harding
entertained,9,1797-03-04,1889-03-04,John Adams,Benjamin Harrison
entertaining,1,1801-03-04,1801-03-04,Thomas Jefferson,Thomas Jefferson
enthralled,1,1989-01-20,1989-01-20,George Bush,George Bush
enthusiasm,2,1853-03-04,1893-03-04,Franklin Pierce,Grover Cleveland
enthusiast,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
enthusiastically,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
entire,10,1789-04-30,1929-03-04,George Washington,Herbert Hoover
entirely,7,1841-03-04,1925-03-04,William Henry Harrison,Calvin Coolidge
entirety,1,1889-03-04,1889-03-04,Benjamin Harrison,Benjamin Harrison
entitle,3,1809-03-04,2009-01-20,James Madison,Barack Obama
entitled,9,1801-03-04,1897-03-04,Thomas Jefferson,William McKinley
entitles,1,1885-03-04,1885-03-04,Grover Cleveland,Grover Cleveland
entity,1,1901-03-04,1901-03-04,William McKinley,William McKinley
entrance,1,1805-03-04,1805-03-04,Thomas Jefferson,Thomas Jefferson
entrepreneurial,1,1985-01-21,1985-01-21,Ronald Reagan,Ronald Reagan
entrepreneurs,1,1981-01-20,1981-01-20,Ronald Reagan,Ronald Reagan
entries,1,1889-03-04,1889-03-04,Benjamin Harrison,Benjamin Harrison
entrust,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
entrusted,2,1789-04-30,1929-03-04,George Washington,Herbert Hoover
entrusting,1,2013-01-21,2013-01-21,Barack Obama,Barack Obama
entwined,1,1853-03-04,1853-03-04,Franklin Pierce,Franklin Pierce
enumerate,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
enumerated,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
enumerates,1,1825-03-04,1825-03-04,John Quincy Adams,John Quincy Adams
enumeration,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
envious,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
environment,4,1889-03-04,1997-01-20,Benjamin Harrison,William J. Clinton
environment-to,1,1973-01-20,1973-01-20,Richard Nixon,Richard Nixon
envisage,1,1949-01-20,1949-01-20,Harry S. Truman,Harry S. Truman
envy,2,1921-03-04,1993-01-20,Warren G. Harding,William J. Clinton
epidemics,1,1937-01-20,1937-01-20,Franklin D. Roosevelt,Franklin D. Roosevelt
equal,36,1789-04-30,2021-01-20,George Washington,Joseph R. Biden
equaled,2,1797-03-04,1873-03-04,John Adams,Ulysses S. Grant
equality,20,1805-03-04,2013-01-21,Thomas Jefferson,Barack Obama
equally,14,1789-04-30,1953-01-20,George Washington,Dwight D. Eisenhower
equals,2,1949-01-20,1997-01-20,Harry S. Truman,William J. Clinton
equal—is,1,2013-01-21,2013-01-21,Barack Obama,Barack Obama
equip,1,2013-01-21,2013-01-21,Barack Obama,Barack Obama
equipment,1,1949-01-20,1949-01-20,Harry S. Truman,Harry S. Truman
equipments,1,1821-03-04,1821-03-04,James Monroe,James Monroe
equipped,2,1953-01-20,1985-01-21,Dwight D. Eisenhower,Ronald Reagan
equipping,1,1889-03-04,1889-03-04,Benjamin Harrison,Benjamin Harrison
equitable,6,1837-03-04,1981-01-20,Martin van Buren,Ronald Reagan
equitably,1,1909-03-04,1909-03-04,William Howard Taft,William Howard Taft
equity,2,1797-03-04,1829-03-04,John Adams,Andrew Jackson
equivalent,4,1821-03-04,1977-01-20,James Monroe,Jimmy Carter
era,12,1921-03-04,2021-01-20,Warren G. Harding,Joseph R. Biden
eradicate,2,1961-01-20,2017-01-20,John F. Kennedy,Donald J. Trump
eradication,1,1929-03-04,1929-03-04,Herbert Hoover,Herbert Hoover
erase,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
erect,2,1925-03-04,1937-01-20,Calvin Coolidge,Franklin D. Roosevelt
erected,1,1825-03-04,1825-03-04,John Quincy Adams,John Quincy Adams
erode,1,1973-01-20,1973-01-20,Richard Nixon,Richard Nixon
eroded,1,1993-01-20,1993-01-20,William J. Clinton,William J. Clinton
errant,1,1917-03-05,1917-03-05,Woodrow Wilson,Woodrow Wilson
erroneous,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
error,6,1789-04-30,1845-03-04,George Washington,James K. Polk
errors,9,1801-03-04,1985-01-21,Thomas Jefferson,Ronald Reagan
escape,4,1889-03-04,1953-01-20,Benjamin Harrison,Dwight D. Eisenhower
escapes,1,1957-01-21,1957-01-21,Dwight D. Eisenhower,Dwight D. Eisenhower
escaping,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
especial,2,1893-03-04,1897-03-04,Grover Cleveland,William McKinley
especially,17,1805-03-04,2021-01-20,Thomas Jefferson,Joseph R. Biden
espouse,1,1877-03-05,1877-03-05,Rutherford B. Hayes,Rutherford B. Hayes
essence,3,1861-03-04,1969-01-20,Abraham Lincoln,Richard Nixon
essential,28,1789-04-30,2005-01-20,George Washington,George W. Bush
essentially,5,1817-03-04,1905-03-04,James Monroe,Theodore Roosevelt
essentials,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
establish,16,1797-03-04,1973-01-20,John Adams,Richard Nixon
established,19,1789-04-30,1949-01-20,George Washington,Harry S. Truman
establishes,2,1929-03-04,1953-01-20,Herbert Hoover,Dwight D. Eisenhower
establishing,4,1789-04-30,1889-03-04,George Washington,Benjamin Harrison
establishment,15,1817-03-04,2017-01-20,James Monroe,Donald J. Trump
establishments,3,1805-03-04,1921-03-04,Thomas Jefferson,Warren G. Harding
estate,1,1901-03-04,1901-03-04,William McKinley,William McKinley
esteem,2,1797-03-04,1897-03-04,John Adams,William McKinley
esteemed,2,1797-03-04,1889-03-04,John Adams,Benjamin Harrison
estimate,4,1817-03-04,1889-03-04,James Monroe,Benjamin Harrison
estimated,1,1813-03-04,1813-03-04,James Madison,James Madison
estimates,2,1789-04-30,1857-03-04,George Washington,James Buchanan
estimation,2,1857-03-04,1889-03-04,James Buchanan,Benjamin Harrison
estranged,1,1857-03-04,1857-03-04,James Buchanan,James Buchanan
eternal,7,1789-04-30,2021-01-20,George Washington,Joseph R. Biden
eternally,1,2005-01-20,2005-01-20,George W. Bush,George W. Bush
eternity,1,2001-01-20,2001-01-20,George W. Bush,George W. Bush
ethics,1,1933-03-04,1933-03-04,Franklin D. Roosevelt,Franklin D. Roosevelt
ethnic,2,1981-01-20,1985-01-21,Ronald Reagan,Ronald Reagan
europe,11,1797-03-04,1957-01-21,John Adams,Dwight D. Eisenhower
european,7,1845-03-04,1949-01-20,James K. Polk,Harry S. Truman
evacuation,1,1901-03-04,1901-03-04,William McKinley,William McKinley
evade,3,1889-03-04,1933-03-04,Benjamin Harrison,Franklin D. Roosevelt
evanescent,2,1889-03-04,1933-03-04,Benjamin Harrison,Franklin D. Roosevelt
evasion,1,1889-03-04,1889-03-04,Benjamin Harrison,Benjamin Harrison
eve,3,1789-04-30,1981-01-20,George Washington,Ronald Reagan
even,38,1801-03-04,2021-01-20,Thomas Jefferson,Joseph R. Biden
even-handed,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
evening,1,1837-03-04,1837-03-04,Martin van Buren,Martin van Buren
evenly,1,1921-03-04,1921-03-04,Warren G. Harding,Warren G. Harding
event,10,1789-04-30,1953-01-20,George Washington,Dwight D. Eisenhower
eventful,4,1825-03-04,1949-01-20,John Quincy Adams,Harry S. Truman
events,16,1805-03-04,2005-01-20,Thomas Jefferson,George W. Bush
eventual,1,2005-01-20,2005-01-20,George W. Bush,George W. Bush
eventually,4,1841-03-04,2005-01-20,William Henry Harrison,George W. Bush
ever,37,1797-03-04,2021-01-20,John Adams,Joseph R. Biden
ever-expanding,1,1977-01-20,1977-01-20,Jimmy Carter,Jimmy Carter
ever-glorious,1,1841-04-09,1841-04-09,John Tyler,John Tyler
ever-increasing,2,1845-03-04,1929-03-04,James K. Polk,Herbert Hoover
ever-larger,1,1937-01-20,1937-01-20,Franklin D. Roosevelt,Franklin D. Roosevelt
ever-ready,1,1837-03-04,1837-03-04,Martin van Buren,Martin van Buren
ever-richer,1,1937-01-20,1937-01-20,Franklin D. Roosevelt,Franklin D. Roosevelt
ever-rising,1,1937-01-20,1937-01-20,Franklin D. Roosevelt,Franklin D. Roosevelt
ever-varying,1,1885-03-04,1885-03-04,Grover Cleveland,Grover Cleveland
ever-watchful,1,1837-03-04,1837-03-04,Martin van Buren,Martin van Buren
everwatchful,1,1841-04-09,1841-04-09,John Tyler,John Tyler
every,53,1789-04-30,2021-01-20,George Washington,Joseph R. Biden
everyday,2,1905-03-04,1997-01-20,Theodore Roosevelt,William J. Clinton
everyone,6,1849-03-05,2017-01-20,Zachary Taylor,Donald J. Trump
everything,12,1801-03-04,2021-01-20,Thomas Jefferson,Joseph R. Biden
everywhere,14,1809-03-04,2009-01-20,James Madison,Barack Obama
ever—not,1,2021-01-20,2021-01-20,Joseph R. Biden,Joseph R. Biden
evidence,6,1813-03-04,2009-01-20,James Madison,Barack Obama
evidences,1,1853-03-04,1853-03-04,Franklin Pierce,Franklin Pierce
evident,4,1853-03-04,2013-01-21,Franklin Pierce,Barack Obama
evidently,1,1837-03-04,1837-03-04,Martin van Buren,Martin van Buren
evil,17,1821-03-04,2005-01-20,James Monroe,George W. Bush
evils,10,1837-03-04,1933-03-04,Martin van Buren,Franklin D. Roosevelt
evince,1,1817-03-04,1817-03-04,James Monroe,James Monroe
evinced,1,1821-03-04,1821-03-04,James Monroe,James Monroe
evoke,1,1909-03-04,1909-03-04,William Howard Taft,William Howard Taft
evoked,1,1933-03-04,1933-03-04,Franklin D. Roosevelt,Franklin D. Roosevelt
evolutions,1,1921-03-04,1921-03-04,Warren G. Harding,Warren G. Harding
exact,7,1801-03-04,1893-03-04,Thomas Jefferson,Grover Cleveland
exacted,2,1845-03-04,1905-03-04,James K. Polk,Theodore Roosevelt
exacting,1,1893-03-04,1893-03-04,Grover Cleveland,Grover Cleveland
exactions,3,1833-03-04,1893-03-04,Andrew Jackson,Grover Cleveland
exactly,2,1881-03-04,2013-01-21,James A. Garfield,Barack Obama
exaggerated,2,1837-03-04,1893-03-04,Martin van Buren,Grover Cleveland
exalt,2,1889-03-04,1921-03-04,Benjamin Harrison,Warren G. Harding
exalted,11,1797-03-04,1953-01-20,John Adams,Dwight D. Eisenhower
examination,3,1817-03-04,1897-03-04,James Monroe,William McKinley
examine,2,1909-03-04,1925-03-04,William Howard Taft,Calvin Coolidge
example,24,1797-03-04,2021-01-20,John Adams,Joseph R. Biden
examples,8,1797-03-04,1849-03-05,John Adams,Zachary Taylor
example—we,1,2017-01-20,2017-01-20,Donald J. Trump,Donald J. Trump
exasperated,1,1857-03-04,1857-03-04,James Buchanan,James Buchanan
exasperation,1,1837-03-04,1837-03-04,Martin van Buren,Martin van Buren
exceed,2,1897-03-04,1909-03-04,William McKinley,William Howard Taft
exceeded,1,1821-03-04,1821-03-04,James Monroe,James Monroe
exceeding,3,1825-03-04,1913-03-04,John Quincy Adams,Woodrow Wilson
excellence,3,1817-03-04,1969-01-20,James Monroe,Richard Nixon
excellent,1,1821-03-04,1821-03-04,James Monroe,James Monroe
except,16,1825-03-04,1981-01-20,John Quincy Adams,Ronald Reagan
excepted,1,1821-03-04,1821-03-04,James Monroe,James Monroe
excepting,1,1837-03-04,1837-03-04,Martin van Buren,Martin van Buren
exception,5,1821-03-04,1877-03-05,James Monroe,Rutherford B. Hayes
exceptional,1,1977-01-20,1977-01-20,Jimmy Carter,Jimmy Carter
exceptional—what,1,2013-01-21,2013-01-21,Barack Obama,Barack Obama
exceptions,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
excess,1,1889-03-04,1889-03-04,Benjamin Harrison,Benjamin Harrison
excessive,3,1841-03-04,1981-01-20,William Henry Harrison,Ronald Reagan
exchange,3,1933-03-04,1969-01-20,Franklin D. Roosevelt,Richard Nixon
exchanged,4,1821-03-04,1985-01-21,James Monroe,Ronald Reagan
exchanges,2,1889-03-04,1921-03-04,Benjamin Harrison,Warren G. Harding
excise,1,1821-03-04,1821-03-04,James Monroe,James Monroe
excises,2,1821-03-04,1845-03-04,James Monroe,James K. Polk
excision,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
excite,3,1813-03-04,1957-01-21,James Madison,Dwight D. Eisenhower
excited,6,1821-03-04,1977-01-20,James Monroe,Jimmy Carter
excitement,7,1837-03-04,1965-01-20,Martin van Buren,Lyndon B. Johnson
exciting,1,1969-01-20,1969-01-20,Richard Nixon,Richard Nixon
exclude,4,1809-03-04,1909-03-04,James Madison,William Howard Taft
excluded,2,1869-03-04,1889-03-04,Ulysses S. Grant,Benjamin Harrison
exclusive,4,1837-03-04,1881-03-04,Martin van Buren,James A. Garfield
exclusively,6,1821-03-04,1889-03-04,James Monroe,Benjamin Harrison
excrescence,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
excursions,1,1913-03-04,1913-03-04,Woodrow Wilson,Woodrow Wilson
excusable,1,1797-03-04,1797-03-04,John Adams,John Adams
excuse,4,1909-03-04,2005-01-20,William Howard Taft,George W. Bush
excused,2,1829-03-04,1893-03-04,Andrew Jackson,Grover Cleveland
execute,17,1789-04-30,2013-01-21,George Washington,Barack Obama
executed,7,1821-03-04,1901-03-04,James Monroe,William McKinley
executes,2,1845-03-04,1885-03-04,James K. Polk,Grover Cleveland
executing,2,1789-04-30,1845-03-04,George Washington,James K. Polk
execution,10,1793-03-04,1929-03-04,George Washington,Herbert Hoover
executions,1,1821-03-04,1821-03-04,James Monroe,James Monroe
executive,29,1789-04-30,1989-01-20,George Washington,George Bush
exemplar,1,1981-01-20,1981-01-20,Ronald Reagan,Ronald Reagan
exemplified,2,1789-04-30,1837-03-04,George Washington,Martin van Buren
exemplify,1,1977-01-20,1977-01-20,Jimmy Carter,Jimmy Carter
exempt,3,1825-03-04,1853-03-04,John Quincy Adams,Franklin Pierce
exempted,1,1809-03-04,1809-03-04,James Madison,James Madison
exercise,21,1789-04-30,2013-01-21,George Washington,Barack Obama
exercised,7,1797-03-04,1901-03-04,John Adams,William McKinley
exercises,2,1805-03-04,1885-03-04,Thomas Jefferson,Grover Cleveland
exercising,4,1817-03-04,1845-03-04,James Monroe,James K. Polk
exert,6,1805-03-04,1857-03-04,Thomas Jefferson,James Buchanan
exerted,4,1841-03-04,1909-03-04,William Henry Harrison,William Howard Taft
exertion,1,1821-03-04,1821-03-04,James Monroe,James Monroe
exertions,5,1801-03-04,1853-03-04,Thomas Jefferson,Franklin Pierce
exhaust,1,1849-03-05,1849-03-05,Zachary Taylor,Zachary Taylor
exhausted,2,1813-03-04,1921-03-04,James Madison,Warren G. Harding
exhausting,2,1817-03-04,2021-01-20,James Monroe,Joseph R. Biden
exhaustive,2,1897-03-04,1925-03-04,William McKinley,Calvin Coolidge
exhaustless,1,1837-03-04,1837-03-04,Martin van Buren,Martin van Buren
exhibit,5,1817-03-04,1925-03-04,James Monroe,Calvin Coolidge
exhibited,6,1797-03-04,1913-03-04,John Adams,Woodrow Wilson
exhibiting,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
exhibitions,1,1837-03-04,1837-03-04,Martin van Buren,Martin van Buren
exhilarated,1,1997-01-20,1997-01-20,William J. Clinton,William J. Clinton
exhortation,1,1853-03-04,1853-03-04,Franklin Pierce,Franklin Pierce
exhortations,1,1933-03-04,1933-03-04,Franklin D. Roosevelt,Franklin D. Roosevelt
exigencies,2,1821-03-04,1889-03-04,James Monroe,Benjamin Harrison
exigency,3,1821-03-04,1889-03-04,James Monroe,Benjamin Harrison
exile,2,1965-01-20,2005-01-20,Lyndon B. Johnson,George W. Bush
exiles,1,1857-03-04,1857-03-04,James Buchanan,James Buchanan
exist,11,1817-03-04,1929-03-04,James Monroe,Herbert Hoover
existed,9,1825-03-04,1929-03-04,John Quincy Adams,Herbert Hoover
existence,24,1797-03-04,2005-01-20,John Adams,George W. Bush
existing,10,1809-03-04,1909-03-04,James Madison,William Howard Taft
exists,11,1789-04-30,2017-01-20,George Washington,Donald J. Trump
exonerated,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
expand,3,1817-03-04,2009-01-20,James Monroe,Barack Obama
expanded,4,1837-03-04,2009-01-20,Martin van Buren,Barack Obama
expanding,2,1857-03-04,1881-03-04,James Buchanan,James A. Garfield
expands,2,1929-03-04,1949-01-20,Herbert Hoover,Harry S. Truman
expansion,9,1853-03-04,2005-01-20,Franklin Pierce,George W. Bush
expect,17,1801-03-04,1973-01-20,Thomas Jefferson,Richard Nixon
expectation,1,1853-03-04,1853-03-04,Franklin Pierce,Franklin Pierce
expectations,6,1797-03-04,1973-01-20,John Adams,Richard Nixon
expected,13,1789-04-30,2001-01-20,George Washington,George W. Bush
expecting,1,1993-01-20,1993-01-20,William J. Clinton,William J. Clinton
expedience,1,2009-01-20,2009-01-20,Barack Obama,Barack Obama
expedient,7,1789-04-30,1897-03-04,George Washington,William McKinley
expedients,2,1841-04-09,1857-03-04,John Tyler,James Buchanan
expeditionary,1,1909-03-04,1909-03-04,William Howard Taft,William Howard Taft
expeditious,1,1929-03-04,1929-03-04,Herbert Hoover,Herbert Hoover
expelled,1,2013-01-21,2013-01-21,Barack Obama,Barack Obama
expendable,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
expenditure,11,1825-03-04,1929-03-04,John Quincy Adams,Herbert Hoover
expenditures,16,1789-04-30,1925-03-04,George Washington,Calvin Coolidge
expense,8,1801-03-04,2017-01-20,Thomas Jefferson,Donald J. Trump
expenses,5,1805-03-04,1909-03-04,Thomas Jefferson,William Howard Taft
expensive,1,1873-03-04,1873-03-04,Ulysses S. Grant,Ulysses S. Grant
experience,28,1789-04-30,1989-01-20,George Washington,George Bush
experienced,5,1789-04-30,1845-03-04,George Washington,James K. Polk
experiences,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
experiencing,1,1817-03-04,1817-03-04,James Monroe,James Monroe
experiment,15,1789-04-30,1957-01-21,George Washington,Dwight D. Eisenhower
