"company","address","businessType","numberAffected","totalEmployees","union","noticeDate","closingDate","reasonDislocation","reason","url","location","longitude","latitude"
"Port Morris Tile & Marble LP","460 West 34th Street, Ste1700, New York, NY 10001","Tile and terrazzo contactors","189","215 (total employees at both locations)","BAC Local 7 and International Brotherhood of Teamsters Local 282","10/8/2019","The closures will take place on or about January 6, 2020.","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6944","460 W 34th St #1700, New York, NY 10001, USA",40.7541075,-73.9991227
"Eastman Kodak Company (Kodak Office)","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","1","-----","The employee is not represented by a union.","10/8/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6945","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"Transform KM LLC (Kmart Store 04726)","975 Fairmount Ave W E, Jamestown, NY 14701","Retail store","35","35","The employees are not represented by a union.","8/06/2019","November 04, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6941","975 Fairmount Ave, Jamestown, NY 14701, USA",42.0944519,-79.2925339
"Somos Healthcare Providers, Inc.","519 Eighth Avenue, 14th Floor, New York, NY 10118","Community care and advocate community provider","130","130","The employees are not represented by a union.","10/7/2019","January 5, 2020","New York State contract expired","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6938","519 8th Ave 14th fl, New York, NY 10018, USA",40.7534105,-73.9930178
"Eastman Kodak Company","(Kodak Office), 343 State Street","Photographic equipment and Supplies","1","-----","The employees are not represented by a union.","10/3/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6939","343 State St, Rochester, NY 14650, USA",43.1608057,-77.6196711
"CONMED Corporation and Buffalo Filter, LLC","5900 Genesee Street, Lancaster, NY 14086","Medical equipment manufacturer","6","96","The employees are not represented by a union.","10/8/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6940","5900 Genesee St, Lancaster, NY 14086, USA",42.9464039,-78.6336676
"Bonobos, Inc., a subsidiary of Walmart, Inc.","45 West 25th Street, 3rd Floor, New York, NY 10110","An e-commerce-driven apparel subsidiary of Walmart headquartered in New York City that designs and sells men's clothing.","26","220","The employees are not represented by a union.","10/7/2019","-----","Changes to its organizational structure","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6936","45 W 25th St 3rd Floor, New York, NY 10010, USA",40.7440796,-73.9910376
"Library Bar (at Hudson Hotel)","358 West 58th St., New York, NY 10019","Bar in the Hudson Hotel","13","13","New York Hotel & Motel Trades Council, AFL-CIO, affiliated with UNITE HERE, Local 6","8/21/2019","Closing date postponed from 10/6/2019 to 11/3/2019.","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6937","358 W 58th St, New York, NY 10019, USA",40.7681639,-73.985069
"J & M Distributing Co., Inc. (Certo Brothers Distributing)","2500 North America Drive, West Seneca, NY 14224","Beer and Ale Merchant Wholesalers","270","270","Teamsters Local 264, I.B.T.","10/4/2019","January 23, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6934","2500 N America Dr, West Seneca, NY 14224, USA",42.8477208,-78.7338045
"RAROC, Inc. a subsidiary of Patina Restaurant Group, LLC","45 Rockefeller Plaza, New York, NY 10111","Restaurant and Entertainment","328","328","The employees are not represented by a union.","10/3/2019","The Company's operations of the food and beverage venues will end on January 15, 2020. The Rink at Rockefeller Center and the skating house operations will end on April 19, 2020.","Lease termination","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6935","45 Rockefeller Plaza, New York, NY 10020, USA",40.759624,-73.978733
"Taft Food Court, LLC - Restaurant Complex - Food Court (Pizza Hut, Nathan's and KFC) and Tad's Steaks Restaurants","761 Seventh Ave, New York, NY 10019","Restaurants","41","41","Tad's Steaks are represented by the UNITE HERE Local 100","10/4/2019","January 5, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6930","761 7th Ave, New York, NY 10019, USA",40.761055,-73.9827553
"New York Health & Racquet Club","62 Cooper Square, New York, NY 10003","Health and fitness center","57","57","The employees are not represented by a union.","10/4/2019","January 6, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6931","62 Cooper Sq, New York, NY 10003, USA",40.7291874,-73.9912442
"New York Health & Racquet Club","60 West 23rd Street, New York, NY 10010","Health and fitness center","104","104","The employees are not represented by a union.","8/1/2019","10/31/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6932","60 W 23rd St, New York, NY 10010, USA",40.7423769,-73.992369
"Queens Medical Associates, P.C.","176-60 Union Turnpike, Fresh Meadows, NY 11366","Hematology and medical oncology care for patients with cancer and blood disorders.","130","130","The employees are not represented by a union.","10/3/2019","1/15/2020","Company selling all of its assets","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6933","176-60 Union Tpke, Fresh Meadows, NY 11366, USA",40.7257769,-73.7906743
"Bunge Management Services, Inc.","50 Main Street, 6th Floor, White Plains, NY 10606","Regulation of agricultural marketing","67","67","The employees are not represented by a union.","10/1/2019","12/31/2019","Relocation of office","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6925","50 Main St 6th Floor, White Plains, NY 10606, USA",41.0313991,-73.7735956
"Hotel Wales","1295 Madison Avenue, New York, NY 10128","Hotel","42","42","New York Hotel & Motel Trades Council, AFL-CIO Local 6 Division A","10/1/2019","12/31/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6926","1295 Madison Ave, New York, NY 10128, USA",40.7847977,-73.9556597
"57th Street, LLC d/b/a Kingside & The Roof","124 West 57th Street, Ground Floor & 29th Floor, New York, NY 10019","Hotel","107","107","The employees are not represented by a union.","9/30/2019","1/1/2020","Sale of the hotel and lease was terminated","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6927","124 W 57th St Ground Floor & 29th Floor, New York, NY 10019, USA",40.7646394,-73.9784473
"Isabella Visiting Care, Inc.","39 Broadway, New York, NY 10006","Licensed home care agency","569","569","1199 Service Employees International Union (SEIU)","10/1/2019","12/31/2019","Purchased by Bestcare, Inc.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6928","39 Broadway, New York, NY 10006, USA",40.7062925,-74.0130765
"BINS Holdings, LLC fka BASIS Independent Schools, LLC (Manhattan)","795 Columbus Avenue, New York, NY 10025","National network of PreK-12 private, secular schools","68","68","The employees are not represented by a union.","10/1/2019","12/31/2019","Acquired by Spring Education Group, Inc.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6929","795 Columbus Ave, New York, NY 10025, USA",40.7944461,-73.9658766
"AllianceBernstein L.P. (Phase 7)","1345 Sixth Avenue, New York, NY 10105","Providing investment management and research services","51","1,339","The employees are not represented by a union.","9/26/2019","-----","Relocation of Corporate Headquarters to Nashville, Tennessee","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6917","1345 6th Ave, New York, NY 10105, USA",40.7629384,-73.978958
"Merastar Insurance Company, a subsidiary of Kemper Corporation","5784 Widewaters Parkway, DeWitt, NY 13214","Insurance","50","50","The employees are not represented by a union.","9/27/2019","12/27/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6918","5784 Widewaters Pkwy, Syracuse, NY 13214, USA",43.046562,-76.0618204
"Lane Bryant, Inc.","380 Fulton Street, Brooklyn, NY 11201","Women's apparel","82","82","Retail, Wholesale and Department Store Union (RWDSU/UFCW) Local 338","9/29/2019","12/17/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6919","380 Fulton St, Brooklyn, NY 11201, USA",40.6912373,-73.9876883
"Crosstex International, Inc. (Cantel) Phase 2","10 Ranick Road, Hauppauge, NY 11788","Dental equipment distribution and manufacturing","7","88","The employees are not represented by a union.","9/20/2019","-----","Restructuring which will involve the relocation of certain dental equipment distribution and manufacturing operations to Rush, NY.","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6920","10 Ranick Rd, Hauppauge, NY 11788, USA",40.8090382,-73.2294463
"Newsday LLC","235 Pinelawn Road, Melville, NY 11747","Newspaper print and distribution","1","708","The affected employee is not represented by a union.","9/30/2019","September 13, 2019","Economic","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6921","235 Pinelawn Rd, Melville, NY 11747, USA",40.7639369,-73.4066025
"AEG Presents (operator of PlayStation Theater aka The Best Buy Theater)","1515 Broadway, New York, NY 10036","Broadway Theater","62","62","International Alliance of Theatrical Stage Employees (IATSE) Local 1","10/1/2019","January 1, 2020","AEG Presents, the operator of PlayStation Theater aka The Best Buy Theater, will permanantly cease all of its operations of the theater.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6922","1515 Broadway, New York, NY 10003, USA",40.7575262,-73.9861364
"Empire State Brewing Corp. d/b/a Heartland Brewery","350 Fifth Ave, New York, NY 10118","Restaurant","96","96","The employees are not represented by a union.","9/25/2019","January 15, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6923","350 5th Ave, New York, NY 10118, USA",40.7482436,-73.9851073
"Edwards Vacuum LLC","6416 Inducon Drive West, Sanborn, NY 14132","Appliance Manufacturer","65","104","The employees are not represented by a union.","10/1/2019","Manufacturing to be shut down 3/31/2020 with some staff remaining until 9/30/2020 to assist in the transition.","Plant Manufacturing Unit Relocating","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6924","6416 Inducon Dr W, Sanborn, NY 14132, USA",43.11768,-78.921903
"Warner Media, LLC (formerly Time Warner Inc.)","30 Hudson Yards, New York, NY 10001","Media services","49","199","The employees are not represented by a union.","9/30/2019","-----","Merger","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6916","30 Hudson Yards, New York, NY 10001, USA",40.7541644,-74.0009082
"Concorde Medical Group PLLC","316 East 30th Street, Floor 2, New York, NY 10116","Home Health Care","115","115","The employees are not represented by a union.","9/23/2019","12/31/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6915","316 E 30th St Floor 2, New York, NY 10016, USA",40.7417171,-73.9769371
"ACCO Brands USA LLC","941 Acco Way, Ogdensburg, NY 13669","Manufacturing operations","62","106","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, Local 4-503","9/23/2019","May 1, 2020","Termination of Manufacturing Operations","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6914","941 Acco Way, Ogdensburg, NY 13669, USA",44.7214577,-75.4353317
"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs,  Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on  the Amtrak level of Penn Station)","560 Fifth Avenue, 3rd Floor, New York, NY 10036","Restaurants","46","46","The employees are not represented by a union.","7/13/2018","1/1/2020","Expiration of lease","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6909","560 5th Ave 3rd Floor, New York, NY 10036, USA",40.7560789,-73.9794056
"Pet Partners, LLC","5 Mountain Ledge Drive, Wilton, NY 12831","Animal hospital","49","49","The employees are not represented by a union.","9/20/2019","January 24, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6908","5 Mountain Ledge Dr, Gansevoort, NY 12831, USA",43.1319903,-73.7681026
"General Parts Distribution, LLC d/b/a Carquest Auto Parts","215 Business Park Drive, Armonk, NY 10504","Auto parts distribution","80","80","Teamsters Local 202","9/18/2019","December 31, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6907","215 Business Park Dr, Armonk, NY 10504, USA",41.1118937,-73.7130307
"Home Box Office. Inc. (HBO Service Corp.)","30 Hudson Yards, New York, NY 10001","American premium channel owned by the Home Box Office, Inc.","15","1176","The employees are not represented by a union.","9/9/2019","-----","Merger","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6905","30 Hudson Yards, New York, NY 10001, USA",40.7541644,-74.0009082
"American Technical Ceramics Corp","One Norden Lane, Huntington Station, NY 11746","Manufacturer of capacitors","24","157","The employees are not represented by a union.","6/24/2019","September 30, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6906","1 Norden Ln, Huntington Station, NY 11746, USA",40.8398638,-73.4255804
"WestRock CP, LLC","28 Park Drive, Amsterdam, NY 12010","American corrugated packaging company.","52","52","Amalgamated Lithographers of America, Local 259","6/11/2019","On or before 11/8/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6904","28 Park Dr, Amsterdam, NY 12010, USA",42.9268462,-74.1752561
"Sure Winner Foods","102 Farrell Rd, Syracuse, NY 13209","Dairy Product (except Dried or Canned) merchant Wholesalers","106","To be determined","The employees are not represented by a union.","9/17/2019","-----","Business partner’s elimination of direct store deliveries","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6903","102 Farrell Rd, Syracuse, NY 13209, USA",43.116055,-76.26828
"Briad Restaurant Group LLC dba Fridays","1780 East Gun Hill Rd, Bronx, NY 10469","Restaurant","62","62","The employees are not represented by a union.","9/15/2019","12/22/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6901","1780 E Gun Hill Rd, The Bronx, NY 10469, USA",40.8632116,-73.8343005
"American Precision Industries, Inc.","45 Hazelwood Drive, Amherst, NY 14228","Transmission Company","79","79","International United Automobile, Aerospace and Agricultural Implement Workers of America (UAW) Local Union No. 1416","5/1/2019","10/18/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6899","45 Hazelwood Dr, Buffalo, NY 14228, USA",43.0280555,-78.8118943
"Premier Fixtures, LLC","400 Oser Avenue, Suite 350, Hauppauge, NY 11788","Custom architectural woodwork & millwork manufacturing","44","44","The employees are not represented by a union.","9/11/2019","September 11, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6900","400 Oser Ave #350, Hauppauge, NY 11788, USA",40.8184244,-73.2666652
"Catholic Guardian Services","140 Casals Place, Co-Op City, Apt. 21 H, Bronx, NY 10475","Human services non-profit organization with programs that help a large needy population in the New York metropolitan area.","38","197 (total employees at all sites)","United Food & Commercial Workers’ Union (UFCW) Local 888","9/9/2019","December 8, 2019","Discontinuation of operations","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6896","140 Casals Pl Apt 21b, The Bronx, NY 10475, USA",40.8783513,-73.8244122
"Goldman, Sachs & Co. LLC","200 West Street, New York, NY 10282","Global investment banking","2","8,963","The employees are not represented by a union.","May 9, 2019 through June 21, 2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6897","200 West Street, New York, NY 10282, USA",40.7148544,-74.0144968
"IntraPac International LLC","4 Plant Street, Plattsburgh, NY 12901","Plastic Production Manufacturer","83","83","Teamsters Local 687","9/12/2019","9/12/2019","Moving production to Mebane, NC facility","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6895","4 Plant St, Plattsburgh, NY 12901, USA",44.6757281,-73.4674877
"F.G.W.J. Food Corp.","427 East 14th Street, New York, NY 10009","Supermarket","73","73","United Food & Commercial Workers (UFCW) Local 342, and Retail, Wholesale and Department Store Union Local 338","9/10/2019","12/10/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6893","427 E 14th St, New York, NY 10009, USA",40.7309381,-73.9812153
"Deutsche Bank","60 Wall Street, New York, NY 10005","Banking","104","4,800","The employees are not represented by a union.","9/6/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6890","60 Wall St, New York, NY 10005, USA",40.7062255,-74.0083912
"Damiano Corp of South Sutphin dba McDonald's","90-67 Sutphin Blvd., Jamaica, NY 11435","Restaurant","30","30","The employees are not represented by a union.","8/30/2019","11/30/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6891","90-67 Sutphin Blvd, Jamaica, NY 11435, USA",40.701211,-73.807654
"Home Box Office, Inc.","30 Hudson Yards, New York, NY 10001","American premium channel","3","-----","The employees are not represented by a union.","8/15/2019","-----","Merger","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6892","30 Hudson Yards, New York, NY 10001, USA",40.7541644,-74.0009082
"IPT LLC dba Paylock","3717 Irwin Ave, Bronx, NY 10463","Provides unique parking management products and services","15","15","The employees are not represented by a union.","8/29/2019","-----","Loss of contract with the city of New York","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6889","3717 Irwin Ave, The Bronx, NY 10463, USA",40.8866016,-73.9034835
"Johnson and Hoffman LLC","40 Voice Road, Carle Place, NY 11514","Metal stamping service","63","63","The employees are not represented by a union.","9/4/2019","November 4, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6887","40 Voice Rd, Carle Place, NY 11514, USA",40.7457498,-73.6225297
"WS Packaging Group, Inc.","29 Jetview Drive, Rochester, NY 14624","Produce high-quality label and packaging products","38","38","The employees are not represented by a union.","9/4/2019","December 31, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6888","29 Jetview Dr, Rochester, NY 14624, USA",43.1113677,-77.6982624
"Library Bar (at Hudson Hotel)","358 West 58th St., New York, NY 10019","Bar in the Hudson Hotel","10","10","New York Hotel & Motel Trades Council, AFL-CIO, affiliated with UNITE HERE, Local 6","8/21/2019","10/6/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6886","358 W 58th St, New York, NY 10019, USA",40.7681639,-73.985069
"Transform KM LLC (Kmart Unit #04034)","2803 Brewerton Rd, Mattydale, NY 13211","Retail store","55","55","The employees are not represented by a union.","8/29/2019","November 27, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6883","2803 Brewerton Rd, Syracuse, NY 13211, USA",43.1060347,-76.1481209
"Transform KM LLC (Kmart Unit #03415)","1001 Hertel Avenue, Buffalo, NY 14216","Retail store","58","58","The employees are not represented by a union.","8/29/2019","November 27, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6884","1001 Hertel Ave, Buffalo, NY 14207, USA",42.9458436,-78.8706863
"Transform KM LLC (Kmart Unit #09414)","Rte 118 355 Downing Dr., Yorktown Heights, NY 10598","Retail store","41","41","The employees are not represented by a union.","8/29/2019","November 27, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6885","355 Downing Dr, Yorktown Heights, NY 10598, USA",41.2726777,-73.78327
"Eastern Niagara Hospital","2600 Williams St., Newfane, NY 14180","Hospital","42","42","New York State Nurses Association (NYSNA) and Service Employees International Union (SEIU)","8/29/2019","November 29, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6882","2600 William St, Newfane, NY 14108, USA",43.2887705,-78.7091341
"La Loggia LLC d/b/a Tarry Lodge Port Chester","18 Mill Street, Port Chester, NY 10573","Restaurant","50","50","The employees are not represented by a union.","8/23/2019","11/22/2019","Due to construction occurring on the premises.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6881","18 Mill St, Port Chester, NY 10573, USA",41.0040252,-73.6597374
"MarineMax Services, Inc.","846 South Wellwood Ave., Lindenhurst, NY 11757","Recreational boat and yacht dealer","","","The employees are not represented by a union.","8/27/2019","","","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6879","846 S Wellwood Ave, Lindenhurst, NY 11757, USA",40.6699274,-73.3573532
"Research Foundation of The City University of New York Mental Health Services Corps","(various NYC sites), 230 West 41st Street","Home care services","265","265","The employees are not represented by a union.","8/19/2019","12/31/2019","Transferring the Mental Health Services Corps from Hunter College, The City University of New York to the New York City Health and Hospitals Corporation.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6878","230 W 41st St Second Floor, New York, NY 10036, USA",40.755716,-73.988857
"Metropolitan Jewish Home Care, Inc. dba MJHS Home Care","6323 Seventh Avenue, Brooklyn, NY 11220","Home care services","28","170","The employees are not represented by a union.","8/19/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6876","6323 7th Ave, Brooklyn, NY 11220, USA",40.6346085,-74.013359
"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)","560 Fifth Avenue, 3rd Floor, New York, NY 10036","Restaurants","45","45","The employees are not represented by a union.","7/13/2018","10/31/2019","Expiration of lease","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6877","560 5th Ave 3rd Floor, New York, NY 10036, USA",40.7560789,-73.9794056
"Nestle USA, Inc. (and Nestle Dreyer's Ice Cream Company)","565 Broadhollow Road, Farmingdale, NY 11735","Packaged Foods","39","39","The employees are not represented by a union.","8/16/2019","12/31/2019","Shifting from direct-store delivery (DSD) to a warehouse distribution model for its frozen pizza and ice cream businesses.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6875","565 Broadhollow Rd, Farmingdale, NY 11735, USA",40.7193053,-73.4248351
"Transform KM LLC (Kmart Unit 04871)","2280 North Ocean Avenue, Farmingville, NY 11738","Retail store","91","91","The employees are not represented by a union.","8/15/2019","11/13/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6873","2280 N Ocean Ave, Farmingville, NY 11738, USA",40.8273029,-73.0237192
"RNN News, LLC (Verizon Corporate Services Group Inc.'s FIOS1 News network)","800 Westchester Avenue, Rye Brook, NY 10573","Provides news programming and support services for Verizon Corporate Services Group Inc.’s FiOSl News network","145","145","The employees are not represented by a union.","8/16/2019","11/15/2019","Expiration of contract","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6874","800 Westchester Avenue, 800 Westchester Ave, Rye Brook, NY 10573, USA",41.0064122,-73.6902253
"The Service Companies at Innside New York","70-74 Morningside Drive, New York, NY 10027","Housekeeping Services","66","66","The employees are not represented by a union.","8/1/2019","August 13, 2019","Termination of housekeeping services agreement","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6872","70 Morningside Dr #74, New York, NY 10027, USA",40.8073255,-73.9588324
"Spruce & Bond (HBG employees)","25 Bond Street, New York, NY 10012","Wax, Laser, Brows in a hi-tech studio","6","-----","The employees are not represented by a union.","7/18/2019","7/20/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6870","25 Bond St, New York, NY 10012, USA",40.7261542,-73.9938152
"PAE Field Offices Support Services (FOSS)","Jacob Javits Federal Building, 26 Federal Plaza, New York, NY 10278","Support and professional services focused on national security customers.","97","97","The employees are not represented by a union.","8/9/2019","December 20, 2019","Loss of contract","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6871","26 Federal Plaza, New York, NY 10278, USA",40.7154857,-74.0041471
"Cayuga Operating Company LLC (Heorot Power)","228 Cayuga Drive, Lansing, NY 14882","Power station","44","44","International Brotherhood of Electrical Workers, Local 10","7/31/2019","To be determined","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6866","228 Cayuga Dr, Lansing, NY 14882, USA",42.6052792,-76.6157492
"Community Development Institute Head Start","216 Beach 87th Street, Rockaway Beach, NY 11693","Pre-School","0","63","The employees are not represented by a union.","6/27/2019","8/31/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6867","216 Beach 87th St, Far Rockaway, NY 11693, USA",40.5880813,-73.8119929
"L3 Harris Technologies","600 Third Avenue, New York, NY 10016","A global defense technology leader","33","117","The employees are not represented by a union.","7/29/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6864","600 3rd Ave, New York, NY 10016, USA",40.7493238,-73.9759092
"Goldman, Sachs & Co. LLC","200 West Street, New York, NY 10282","","10","","The employees are not represented by a union.","4/18/2019 through 6/19/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6865","200 West Street, New York, NY 10282, USA",40.7148544,-74.0144968
"New York Health & Racquet Club","60 West 23rd Street, New York, NY 10010","Health and fitness center","104","104","The employees are not represented by a union.","8/1/2019","10/31/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6863","60 W 23rd St, New York, NY 10010, USA",40.7423769,-73.992369
"Turner Broadcasting System, Inc.","501 West 30th Street, New York, NY 10001","Company research & investing information","2","1,725","The employees are not represented by a union.","7/16/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6860","501 W 30th St, New York, NY 10001, USA",40.7525422,-74.0011081
"The Kildonan School","425 Morse Hill Road, Amenia, NY 12501","School","59","59 (includes full-time and part-time employees)","The employees are not represented by a union.","7/16/2019","August 31, 2019 (Administrative and maintenance staff will work through at least September 30, 2019)","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6861","425 Morse Hill Rd, Amenia, NY 12501, USA",41.893216,-73.5542
"Crystal Run Health Plan, LLC (Phase 2)","109 Rykowski Lane, Middletown, NY 10941","Health Plans","3","26","The employees are not represented by a union.","7/29/2019","To be determined","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6862","109 Rykowski Ln, Middletown, NY 10941, USA",41.4512684,-74.3480251
"Dean & DeLuca Inc.","29-35 9th Avenue, New York, NY 10014","Gourmet foods and fine food gifts","35","35","The employees are not represented by a union.","7/29/2019","7/28/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6858","29-35 9th Ave, New York, NY 10014, USA",40.7406093,-74.0058785
"Dean & DeLuca Inc.","1150 Madison Avenue, New York, NY 10028","Gourmet foods and fine food gifts","58","58","The employees are not represented by a union.","6/28/2019","6/30/2019","Loss of lease for the premises","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6859","1150 Madison Ave, New York, NY 10028, USA",40.7803648,-73.9594148
"Plated Fulfillment Center","511 Barry Street, Bronx, NY 10474","Prepare and distribute meal kits","98","98","The employees are not represented by a union.","7/19/2019","10/12/2019","Relocation of operations to Totowa, New Jersey","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6856","511 Barry St, The Bronx, NY 10474, USA",40.8095406,-73.8961549
"Community Development Institute Head Start (CDI HS)","216 Beach 87th Street, Rockaway Beach, NY 11693","The program provides early childhood education, nutrition, family education and services for children with disability/special needs, and supports families in attaining services in health, dental, disability, and mental health services.","63","63","The employees are not represented by a union.","6/27/2019","8/31/2019","Loss of grant. CDI HS was assigned as the short-term interim operator of the Rockaway Beach, NY Head Start program.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6854","216 Beach 87th St, Far Rockaway, NY 11693, USA",40.5880813,-73.8119929
"DB USA Core Corporation (Deutsche Bank)","60 Wall Street, New York, NY 10005","","","","The employees are not represented by a union.","7/18/2019","","","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6855","60 Wall St, New York, NY 10005, USA",40.7062255,-74.0083912
"CallVista LLC","530 Summit Point Drive, Henrietta, NY 14467","Call center","27","27","The employees are not represented by a union.","4/15/2019","11/29/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6852","530 Summit Point Dr, Henrietta, NY 14467, USA",43.0545048,-77.6522702
"ClickSpark LLC","530 Summit Point Drive, Henrietta, NY 14467","Internet marketing service","6","6","The employees are not represented by a union.","4/15/2019","11/29/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6853","530 Summit Point Dr, Henrietta, NY 14467, USA",43.0545048,-77.6522702
"Saks Fifth Avenue OFF 5th","2100 Bartow Avenue, Bronx, NY 10475","","","","The employees are not represented by a union.","7/16/2019","","","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6851","2100 Bartow Ave, The Bronx, NY 10475, USA",40.8682092,-73.8248498
